epoch,train_loss,Recall@10,HitRate@10,NDCG@10,n_eval_users
1,5.543675913581026,0.0002325440317068,0.0002325440317068,9.73484679965272e-05,98906
2,5.412781462006759,0.0006875214850464,0.0006875214850464,0.0003166568407508,98906
3,5.14910821844285,0.0010312822275696,0.0010312822275696,0.0004302808106098,98906
4,4.8800127659330625,0.0013143793096475,0.0013143793096475,0.0005645924310984,98906
5,4.655825292022376,0.0021333387256587,0.0021333387256587,0.0009758086126716,98906
6,4.475758132298376,0.0027500859401856,0.0027500859401856,0.0012560887795749,98906
7,4.326215214954272,0.0030432936323377,0.0030432936323377,0.0014337296638055,98906
8,4.196933217554061,0.0034780498655288,0.0034780498655288,0.001661343295309,98906
9,4.080134036090876,0.0038723636584231,0.0038723636584231,0.0018411986054495,98906
10,3.969393051468993,0.0040745758599073,0.0040745758599073,0.0018951384436119,98906
11,3.8616521954195817,0.0051159686975512,0.0051159686975512,0.0023500178276466,98906
12,3.7575767309115222,0.0051260793076254,0.0051260793076254,0.0023514433167251,98906
13,3.655162415713487,0.0053687339494065,0.0053687339494065,0.0025447992777782,98906
14,3.5543018930553325,0.0061371403150466,0.0061371403150466,0.0027771333716403,98906
15,3.4569277306120045,0.0064404586172729,0.0064404586172729,0.0029947750175902,98906
16,3.363223208716083,0.0070268740015772,0.0070268740015772,0.0032473135951015,98906
17,3.273452406632736,0.0075728469455846,0.0075728469455846,0.0035503775256807,98906
18,3.1884947235429255,0.0080278243989242,0.0080278243989242,0.0037522035329871,98906
19,3.107001480607771,0.0089580005257517,0.0089580005257517,0.0041867496222308,98906
20,3.0297644802210852,0.009402867369017,0.009402867369017,0.0044315797594216,98906
21,2.957096704585149,0.0098376236022081,0.0098376236022081,0.004637438903874,98906
22,2.8891527827326025,0.0102319373951024,0.0102319373951024,0.0047793924378217,98906
23,2.8244460878762037,0.0105453663074029,0.0105453663074029,0.0050672850777468,98906
24,2.7625185203557163,0.0106363617980708,0.0106363617980708,0.0051210565065427,98906
25,2.706148110490943,0.011596869755121,0.011596869755121,0.0054183271688978,98906
26,2.651981661037845,0.0120012941580894,0.0120012941580894,0.005753803457589,98906
27,2.601367324393399,0.0118799668371989,0.0118799668371989,0.0057208897806989,98906
28,2.552593514504865,0.0120821790386831,0.0120821790386831,0.0058818295725488,98906
29,2.5068048374587804,0.0123753867308353,0.0123753867308353,0.0060250143974641,98906
30,2.4652977828271365,0.0132347885871433,0.0132347885871433,0.0063949374123954,98906
31,2.423625096989658,0.0133561159080338,0.0133561159080338,0.0063895283628975,98906
32,2.385133766609984,0.0132752310274401,0.0132752310274401,0.0064601751631476,98906
33,2.3489626905267453,0.0140234161729318,0.0140234161729318,0.0067822179608602,98906
34,2.315467423484828,0.0145289466766424,0.0145289466766424,0.007073378964526,98906
35,2.282115089444526,0.0139020888520413,0.0139020888520413,0.0069196673588736,98906
36,2.2511711894135056,0.0142559602046387,0.0142559602046387,0.0069582269273363,98906
37,2.2217787646527825,0.0151153620609467,0.0151153620609467,0.0073836155758105,98906
38,2.1930237550556777,0.0150142559602046,0.0150142559602046,0.0073421874779231,98906
39,2.164893547064917,0.0152063575516146,0.0152063575516146,0.0074100397673207,98906
40,2.1411877501581613,0.0161163124582937,0.0161163124582937,0.0078340706597603,98906
41,2.115740738049078,0.0155804501243605,0.0155804501243605,0.0076468432923239,98906
42,2.092276479025595,0.0160960912381453,0.0160960912381453,0.0078069238313863,98906
43,2.070702082136167,0.0162983034396295,0.0162983034396295,0.0079682001418547,98906
44,2.0494292059575763,0.0167229490627464,0.0167229490627464,0.0081314849720452,98906
45,2.0285595638305107,0.017086931025418,0.017086931025418,0.0084335450405052,98906
46,2.0090367721975646,0.0171071522455664,0.0171071522455664,0.0083694780106477,98906
47,1.99059023561781,0.0170970416354922,0.0170970416354922,0.0085023963371596,98906
48,1.9717825744175463,0.0168442763836369,0.0168442763836369,0.0085316136269357,98906
49,1.9543815964243827,0.0171475946858633,0.0171475946858633,0.0085221903728088,98906
50,1.937817089559379,0.017562129698906,0.017562129698906,0.0087602052462391,98906
51,1.922022203611217,0.0179665541018745,0.0179665541018745,0.0090745186402197,98906
52,1.907004256076104,0.0178654480011323,0.0178654480011323,0.0089802854239941,98906
53,1.8917745855422996,0.0183002042343235,0.0183002042343235,0.0091193297527736,98906
54,1.8776693622559684,0.017946332881726,0.017946332881726,0.009098095539315,98906
55,1.8632269466386435,0.0178148949507613,0.0178148949507613,0.0090264986420156,98906
56,1.8505004009140988,0.0183709785048429,0.0183709785048429,0.0092382599480016,98906
57,1.837598048018998,0.0186742968070693,0.0186742968070693,0.0095499348134706,98906
